Customer ID,Order Lines/SKU ID,Order Lines/Quantity,Order Lines/Unit Of Measure
M1-ABDI-11,UNP-120,10,Batang
M1-ABDI-11,UNP-200,6,Batang
M1-STQI-11,PLT-BRDS0230,100,Lembar
M1-STQI-11,PLT-SPHC0155,50,Lembar
M1-STQI-11,PLT-SPHC0180,50,Lembar
M1-SURA-11,PLT-SPHC0120,170,Lembar
M1-SURA-11,PLT-SPHC0150,20,Lembar
M1-SURA-11,PLT-SPHC0200,15,Lembar
M1-PUMS-11,SIK-040040-IBB,51,Batang
M1-PUMS-11,SIK-050050-IBB,72,Batang
M1-PUMS-11,SIK-060060-IBB,8,Batang
M1-PUMS-11,SIK-070070-IBB,8,Batang
M1-PUMS-11,SIK-080080-IBB,10,Batang
M1-PUMS-11,SIK-120120-IBB,5,Batang
M1-PUMS-11,PIP-SCH4080,2,Batang
M1-SUGP-11,SIK-100100-IBB,30,Batang
M1-SUGP-11,SIK-120120-IBB,11,Batang
M1-SUGP-11,SIK-060060-IBB,50,Batang
M1-SUGP-11,SIK-070070-IBB,120,Batang
M1-SUGP-11,SIK-080080-IBB,15,Batang
M1-SUGP-11,WFL-300-GG,8,Batang
